+-----+---------+--------+--------+-------+--------+--------------+-------+---------+--------+--------+---------+---------------------+
|     |   order |   scan | name   |   att |   coll |   wavelength |   det |   det_y |   temp |   moni |    time | name_hdf            |
|  55 |      55 | 080387 | P      |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25.01 |     10 |   17.01 | sans2021n080387.hdf |
|  56 |      56 | 080388 | Q      |     0 |    4.5 |  4.99819e-09 |   4.5 |     0   |  24.98 |     10 |   27.14 | sans2021n080388.hdf |
|  57 |      57 | 080389 | R      |     0 |    4.5 |  4.99819e-09 |   4.5 |     0   |  24.97 |     10 |   17.09 | sans2021n080389.hdf |
|  58 |      58 | 080390 | S      |     0 |    4.5 |  4.99926e-09 |   4.5 |     0   |  24.98 |     10 |   17.1  | sans2021n080390.hdf |
|  59 |      59 | 080391 | T      |     0 |    4.5 |  4.99926e-09 |   4.5 |     0   |  24.99 |     10 |   16.96 | sans2021n080391.hdf |
|  60 |      60 | 080392 | U      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.96 |     10 |   16.99 | sans2021n080392.hdf |
|  61 |      61 | 080393 | V      |     0 |    4.5 |  5.00051e-09 |   4.5 |     0   |  24.99 |     10 |   17.02 | sans2021n080393.hdf |
|  62 |      62 | 080394 | A      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25.02 |    500 |  858.99 | sans2021n080394.hdf |
|  63 |      63 | 080395 | B      |     0 |    4.5 |  5.0023e-09  |   4.5 |     0   |  25.01 |    500 |  859.49 | sans2021n080395.hdf |
|  64 |      64 | 080396 | C      |     0 |    4.5 |  4.99926e-09 |   4.5 |     0   |  25.01 |    500 |  859.06 | sans2021n080396.hdf |
|  65 |      65 | 080397 | D      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  24.98 |    500 |  860.62 | sans2021n080397.hdf |
|  66 |      66 | 080398 | E      |     0 |    4.5 |  4.99819e-09 |   4.5 |     0   |  24.99 |    500 |  869.47 | sans2021n080398.hdf |
|  67 |      67 | 080399 | F      |     0 |    4.5 |  4.99872e-09 |   4.5 |     0   |  25.02 |    500 |  858.07 | sans2021n080399.hdf |
|  68 |      68 | 080400 | G      |     0 |    4.5 |  5.00105e-09 |   4.5 |     0   |  25    |    500 |  860.05 | sans2021n080400.hdf |
|  69 |      69 | 080401 | H      |     0 |    4.5 |  5.00158e-09 |   4.5 |     0   |  25    |    500 |   49.03 | sans2021n080401.hdf |
|  70 |      70 | 080409 | mask   |     0 |   18   |  5.00158e-09 |  18   |     0.4 |  24.99 |     20 |   34.35 | sans2021n080409.hdf |
|  71 |      71 | 080410 | EB     |     1 |   18   |  4.99997e-09 |  18   |     0.4 |  24.99 |     10 |   18.47 | sans2021n080410.hdf |
|  72 |      72 | 080411 | Cd     |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  24.99 |    100 |  170.99 | sans2021n080411.hdf |
|  73 |      73 | 080412 | EC     |     0 |   18   |  4.99926e-09 |  18   |     0.4 |  25    |    500 |  868.54 | sans2021n080412.hdf |
|  74 |      74 | 080413 | J      |     0 |   18   |  4.99872e-09 |  18   |     0.4 |  24.99 |   1000 | 1716.81 | sans2021n080413.hdf |
